Year,R&D Spending (% of GDP)
2000,2.6198399066925
2001,2.63715004920959
2002,2.54745006561279
2003,2.55014991760254
2004,2.48686003684998
2005,2.50192999839783
2006,2.54544997215271
2007,2.61515998840332
2008,2.74481010437012
2009,2.79182004928589
2010,2.71444988250732
2011,2.73802995681763
2012,2.6728401184082
2013,2.70215010643005
2014,2.71785998344421
2015,2.78699994087219
2016,2.85349988937378
2017,2.90432000160217
2018,3.0100998878479
2019,3.170490026474
2020,3.46777009963989
2021,3.45705008506775
2022,
2023,
