Year,GDP,Growth Rate (%),Cumulative Growth (%)
2000,10250952000000,,100.0
2001,10581929000000,3.2287440229941566,103.22874402299416
2002,10929108000000,3.2808668438429223,106.61554165896005
2003,11456450000000,4.8251147303146835,111.75986386435133
2004,12217196000000,6.640329246843479,119.1810867907683
2005,13039197000000,6.728229619955339,127.19986397360947
2006,13815583000000,5.954247029169046,134.7736580953652
2007,14474228000000,4.767406485850079,141.19886621262103
2008,14769862000000,2.0424854437832485,144.0828325018008
2009,14478067000000,-1.9756108757143398,141.23631639285793
2010,15048971000000,3.943233582217842,146.8055942511486
2011,15599732000000,3.6597917558615745,152.17837328669572
2012,16253970000000,4.193905382477081,158.5605902749325
2013,16880683000000,3.8557533944014954,164.67429561664127
2014,17608138000000,4.309393168511022,171.77075846223843
2015,18295019000000,3.9009292180695043,178.4714141671915
2016,18804913000000,2.7870646103182573,183.4455277909798
2017,19612102000000,4.292436769050734,191.319811077059
2018,20656516000000,5.325354722303599,201.5082696709535
2019,21521395000000,4.186954857246983,209.94532995569583
2020,21322950000000,-0.922082420772441,208.00946097494167
2021,23594031000000,10.650876168635204,230.16429108242824
2022,25744108000000,9.112800606221128,251.13870399549234
2023,27360935000000,6.280376853608605,266.91116103167786
